Latitude,Longitude,opening_hours,accessibility_info,image,location_info,address,id,email,phone,ballot_box_ordering_nr,polling_station_nr,voting_above_district,voting_above_district_end_date,auxiliary_storage_labeling_positionx,auxiliary_storage_labeling_positiony
59.3999304931955,27.2831957272618,"{ ""2023-02-27 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }",Ligipääsetavus tagatud,478-1006.jpg,Kohtla-Järve Linnavalitsus,"Keskallee 19, Järve linnaosa, Kohtla-Järve linn, Ida-Viru maakond","1006",jelena.versinina@kjlv.ee,"+37258887137","+37257847462","1",true,2023/03/03,,
59.4051736738912,27.2913143259715,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }",Ligipääsetavus tagatud,479-1008.jpg,Kohtla-Järve Slaavi Põhikool,"Pärna tn 49, Järve linnaosa, Kohtla-Järve linn, Ida-Viru maakond","1008",irena.varkki@gmail.com,"+37258887138","+37257847462","2",false,2023/03/03,26.1636072065584,58.2999989835351
59.3235937730885,27.4151231141615,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }",Ligipääsetavus tagatud,480-1010.jpg,Ahtme klubi,"Mardi tn 6, Ahtme linnaosa, Kohtla-Järve linn, Ida-Viru maakond","1010",maie.kiik@kjlv.ee,"+37258887139","+37257847462","3",false,2023/03/03,26.1636072065584,58.2999989835351
59.3327504899267,27.4162474217223,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }",Ligipääsetavus tagatud,481-1012.jpg,Kohtla-Järve Tammiku põhikool,"Puru tee 38, Ahtme linnaosa, Kohtla-Järve linn, Ida-Viru maakond","1012",olga.ivanova@kjlv.ee,"+37258887140","+37257847462","4",false,2023/03/03,26.1636072065584,58.2999989835351
59.3240190106517,27.4294813273075,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }",Ligipääsetavus tagatud,482-1014.jpg,Kohtla-Järve Ahtme Põhikool,"Altserva tn 6, Ahtme linnaosa, Kohtla-Järve linn, Ida-Viru maakond","1014",galina.villers@gmail.com,"+37258887141","+37257847462","5",false,2023/03/03,26.1636072065584,58.2999989835351
59.3392198388887,27.2875780022742,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }",Ligipääsetavus tagatud,483-1016.jpg,Sompa klubi,"Humala tn 1, Sompa linnaosa, Kohtla-Järve linn, Ida-Viru maakond","1016",anneli.jarvi@kjlv.ee,"+37258887142","+37257847462","6",false,2023/03/03,26.1636072065584,58.2999989835351
59.3981799232347,27.3447809923192,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ] }",Ligipääsetavus tagatud,484-1018.jpg,Osaühingu OSK GRUPP kontor,"Lehe tn 8, Kukruse linnaosa, Kohtla-Järve linn, Ida-Viru maakond","1018",uljana.zaidentsal@kjlv.ee,"+37258887143","+37257847462","7",false,2023/03/03,,
59.3700670605029,27.5680881459338,"{ ""2023-03-05"": [ ""09:00 - 20:00"" ] }",Ligipääsetavus tagatud,484-1019.jpg,Oru klubi,"Vikerkaare tn 2, Oru linnaosa, Kohtla-Järve linn, Ida-Viru maakond","1019",uljana.zaidentsal@kjlv.ee,"+37258887143","+37257847462","7",false,2023/03/03,,
58.8081821712927,25.4311988159034,"{ ""2023-02-27 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }",hoone juures parkla,485-1021.jpg,Türi Kultuurikeskus,"Hariduse tn 1, Türi linn, Türi vald, Järva maakond","1021",lii.laanemets@tyri.ee,"+37258887188",,"1",true,2023/03/03,,
58.8184305866983,25.413026562202,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }",hoone juures parkla,486-1022.jpg,Türi Ühisgümnaasium,"Tolli tn 62, Türi linn, Türi vald, Järva maakond","1022",lii.laanemets@tyri.ee,"+37258887189","+37258887189","2",false,2023/03/03,26.1636072065584,58.2999989835351
