Valimissündmus,Jaoskonna number,KOV või linnaosa,Valimisringkond,Jaoskonnas saavad hääletada ka teise ringkonda kuuluvad valijad,Jaoskond korraldab kodus hääletamist,Ära näita jaoskonda kaardirakendusel,Jaoskonna telefoninumber,E-posti aadress,Valimiskasti koju tellimise telefoninumber,Asukoha nimetus,address,Ligipääsetavus on olemas,Info ligipääsetavuse kohta,Valimispäev või eelhääletamine,Kellaajad,Valimispäev või eelhääletamise päev,Latitude,Longitude,opening_hours,accessibility_info,image,location_info,id,email,phone,ballot_box_ordering_nr,polling_station_nr,voting_above_district,voting_above_district_end_date,auxiliary_storage_labeling_positionx,auxiliary_storage_labeling_positiony
RK_2023,1,Haabersti linnaosa,"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa",False,False,False,37258887001,Haabersti.elukoht@tallinnlv.ee,3726404815.0,Tallinna Õismäe Vene Lütseum,"Õismäe tee 28, Haabersti linnaosa, Tallinn, Harju maakond",True,"Sissepääs võimalik ratastooli ja lapsevankriga. Välisukse juures teisaldatavad relsid., Palun helistage jaoskonna telefoninumbril, Teid abistatakse vajadusel., Parkla asub maja taga.",E,12:00 - 20:00,2023-03-03 - 2023-03-04,59.4134987138821,24.6486596379545,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }","Sissepääs võimalik ratastooli ja lapsevankriga. Välisukse juures teisaldatavad relsid.
Palun helistage jaoskonna telefoninumbril, Teid abistatakse vajadusel.
Parkla asub maja taga.",802-1652.jpg,Tallinna Õismäe Vene Lütseum,1652,Haabersti.elukoht@tallinnlv.ee,37258887001,3726404815.0,1,False,2023/03/03,26.1636072065584,58.2999989835351
RK_2023,1,Haabersti linnaosa,"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa",False,False,False,37258887001,Haabersti.elukoht@tallinnlv.ee,3726404815.0,Tallinna Õismäe Vene Lütseum,"Õismäe tee 28, Haabersti linnaosa, Tallinn, Harju maakond",True,"Sissepääs võimalik ratastooli ja lapsevankriga. Välisukse juures teisaldatavad relsid., Palun helistage jaoskonna telefoninumbril, Teid abistatakse vajadusel., Parkla asub maja taga.",V,09:00 - 20:00,2023-03-05 - 2023-03-05,59.4134987138821,24.6486596379545,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }","Sissepääs võimalik ratastooli ja lapsevankriga. Välisukse juures teisaldatavad relsid.
Palun helistage jaoskonna telefoninumbril, Teid abistatakse vajadusel.
Parkla asub maja taga.",802-1652.jpg,Tallinna Õismäe Vene Lütseum,1652,Haabersti.elukoht@tallinnlv.ee,37258887001,3726404815.0,1,False,2023/03/03,26.1636072065584,58.2999989835351
RK_2023,2,Haabersti linnaosa,"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa",False,False,False,37258887002,Haabersti.elukoht@tallinnlv.ee,3726404815.0,Haabersti Vene Gümnaasium,"Õismäe tee 132, Haabersti linnaosa, Tallinn, Harju maakond",False,,E,12:00 - 20:00,2023-03-03 - 2023-03-04,59.4174247378115,24.6480120021477,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }","Piiratud sissepääs ratastooli ja lapsevankriga. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Kahe korruse vahel on relsid. 
Parkimine on tänaval.",803-1654.jpg,Haabersti Vene Gümnaasium,1654,Haabersti.elukoht@tallinnlv.ee,37258887002,3726404815.0,2,False,2023/03/03,26.1636072065584,58.2999989835351
RK_2023,2,Haabersti linnaosa,"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa",False,False,False,37258887002,Haabersti.elukoht@tallinnlv.ee,3726404815.0,Haabersti Vene Gümnaasium,"Õismäe tee 132, Haabersti linnaosa, Tallinn, Harju maakond",False,,V,09:00 - 20:00,2023-03-05 - 2023-03-05,59.4174247378115,24.6480120021477,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }","Piiratud sissepääs ratastooli ja lapsevankriga. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Kahe korruse vahel on relsid. 
Parkimine on tänaval.",803-1654.jpg,Haabersti Vene Gümnaasium,1654,Haabersti.elukoht@tallinnlv.ee,37258887002,3726404815.0,2,False,2023/03/03,26.1636072065584,58.2999989835351
RK_2023,3,Haabersti linnaosa,"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa",False,False,False,37258887003,Haabersti.elukoht@tallinnlv.ee,3726404815.0,Tallinna Mustjõe Gümnaasium,"Paldiski mnt 83, Haabersti linnaosa, Tallinn, Harju maakond",True,"Sissepääs võimalik ratastooli ja lapsevankriga., Erilahendused pimedale ja vaegnägijale – juhtnuppude reljeefsus või punktkiri, kontrastsus ja juhtteed., Parkla asub maja kõrval.",E,12:00 - 20:00,2023-03-03 - 2023-03-04,59.4291903214298,24.6926527059113,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }","Sissepääs võimalik ratastooli ja lapsevankriga.
Erilahendused pimedale ja vaegnägijale – juhtnuppude reljeefsus või punktkiri, kontrastsus ja juhtteed.
Parkla asub maja kõrval.",805-1658.jpg,Tallinna Mustjõe Gümnaasium,1658,Haabersti.elukoht@tallinnlv.ee,37258887003,3726404815.0,3,False,2023/03/03,26.1636072065584,58.2999989835351
RK_2023,3,Haabersti linnaosa,"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa",False,False,False,37258887003,Haabersti.elukoht@tallinnlv.ee,3726404815.0,Tallinna Mustjõe Gümnaasium,"Paldiski mnt 83, Haabersti linnaosa, Tallinn, Harju maakond",True,"Sissepääs võimalik ratastooli ja lapsevankriga., Erilahendused pimedale ja vaegnägijale – juhtnuppude reljeefsus või punktkiri, kontrastsus ja juhtteed., Parkla asub maja kõrval.",V,09:00 - 20:00,2023-03-05 - 2023-03-05,59.4291903214298,24.6926527059113,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }","Sissepääs võimalik ratastooli ja lapsevankriga.
Erilahendused pimedale ja vaegnägijale – juhtnuppude reljeefsus või punktkiri, kontrastsus ja juhtteed.
Parkla asub maja kõrval.",805-1658.jpg,Tallinna Mustjõe Gümnaasium,1658,Haabersti.elukoht@tallinnlv.ee,37258887003,3726404815.0,3,False,2023/03/03,26.1636072065584,58.2999989835351
RK_2023,4,Haabersti linnaosa,"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa",False,False,False,37258887004,Haabersti.elukoht@tallinnlv.ee,3726404815.0,Tallinna Järveotsa Gümnaasium,"Järveotsa tee 31, Haabersti linnaosa, Tallinn, Harju maakond",True,"Sissepääs võimalik ratastooli ja lapsevankriga. Õuest võimalik siseneda lifti. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.",E,12:00 - 20:00,2023-03-03 - 2023-03-04,59.4096277198344,24.6399050201064,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }","Sissepääs võimalik ratastooli ja lapsevankriga. Õuest võimalik siseneda lifti. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. 
Parkla asub maja kõrval.",806-1660.jpg,Tallinna Järveotsa Gümnaasium,1660,Haabersti.elukoht@tallinnlv.ee,37258887004,3726404815.0,4,False,2023/03/03,26.1636072065584,58.2999989835351
RK_2023,4,Haabersti linnaosa,"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa",False,False,False,37258887004,Haabersti.elukoht@tallinnlv.ee,3726404815.0,Tallinna Järveotsa Gümnaasium,"Järveotsa tee 31, Haabersti linnaosa, Tallinn, Harju maakond",True,"Sissepääs võimalik ratastooli ja lapsevankriga. Õuest võimalik siseneda lifti. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.",V,09:00 - 20:00,2023-03-05 - 2023-03-05,59.4096277198344,24.6399050201064,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }","Sissepääs võimalik ratastooli ja lapsevankriga. Õuest võimalik siseneda lifti. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. 
Parkla asub maja kõrval.",806-1660.jpg,Tallinna Järveotsa Gümnaasium,1660,Haabersti.elukoht@tallinnlv.ee,37258887004,3726404815.0,4,False,2023/03/03,26.1636072065584,58.2999989835351
RK_2023,5,Haabersti linnaosa,"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa",False,True,False,37258887005,Haabersti.elukoht@tallinnlv.ee,3726404815.0,Haabersti Linnaosa Valitsuse hoone,"Ehitajate tee 109a, Haabersti linnaosa, Tallinn, Harju maakond",True,"Sissepääs võimalik ratastooli ja lapsevankriga. Kaldtee ˃= 10%. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.",E,12:00 - 20:00,2023-03-03 - 2023-03-04,59.4136306588745,24.656446193095,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }","Sissepääs võimalik ratastooli ja lapsevankriga. Kaldtee ˃= 10%. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. 
Parkla asub maja kõrval.",807-1662.jpg,Haabersti Linnaosa Valitsuse hoone,1662,Haabersti.elukoht@tallinnlv.ee,37258887005,3726404815.0,5,False,2023/03/03,26.1636072065584,58.2999989835351
RK_2023,5,Haabersti linnaosa,"Valimisringkond nr 1 – Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa",False,True,False,37258887005,Haabersti.elukoht@tallinnlv.ee,3726404815.0,Haabersti Linnaosa Valitsuse hoone,"Ehitajate tee 109a, Haabersti linnaosa, Tallinn, Harju maakond",True,"Sissepääs võimalik ratastooli ja lapsevankriga. Kaldtee ˃= 10%. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. Parkla asub maja kõrval.",V,09:00 - 20:00,2023-03-05 - 2023-03-05,59.4136306588745,24.656446193095,"{ ""2023-03-03 - 2023-03-04"": [ ""12:00 - 20:00"" ], ""2023-03-05"": [ ""09:00 - 20:00"" ] }","Sissepääs võimalik ratastooli ja lapsevankriga. Kaldtee ˃= 10%. Palun helistage jaoskonna telefoninumbril, Teid abistatakse. 
Parkla asub maja kõrval.",807-1662.jpg,Haabersti Linnaosa Valitsuse hoone,1662,Haabersti.elukoht@tallinnlv.ee,37258887005,3726404815.0,5,False,2023/03/03,26.1636072065584,58.2999989835351
